"","sample_size_n","number_covariates_J","coefficient_k","nonnormal_covariates_1","coefficient_yonly","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"97",400,20,1.5,0,1.5,"regsem",FALSE,0.683234852322567,0.989837227544014,1.20233432235931,0,0.859941532283917,0.172,0.0384213128890567,0.396279780953614,0.18,0.11995,0,0.2
"98",400,20,1.5,0,1.5,"stability_mle",TRUE,-0.0320089791647767,2.43172067858585,2.43071527907951,0,1.63966605086303,0.085,0.340261414741037,1.93999317300139,0.961,0.5473,0.35,0.75
"99",400,20,1.5,0,1.5,"target",FALSE,-0.0159802193964528,0.886081149930055,0.8857821582472,0,0.892414455379349,0.049,0.0466217769085664,0.28686485366135,NA,NA,NA,NA
"100",400,20,1.5,0,1.5,"unwanted.only",FALSE,1.53591892078242,1.29704297993508,2.00989678902289,0,1.17321545212229,0.298,0.134967467929817,0.953114295801711,NA,NA,NA,NA
"101",400,20,1.5,1,1,"glmnet",FALSE,0.356141535569782,1.58902883061234,1.62767453910501,0,1.23739445863153,0.116,0.119362591717721,1.92417379493556,0.439,0.2885,0.1,0.45
"102",400,20,1.5,1,1,"ipw.CBPS",FALSE,0.303977631346321,1.70493410636403,1.73098119778789,0,1.59208931291687,0.066,0.24100713394869,0.44529841370372,NA,NA,NA,NA
"103",400,20,1.5,1,1,"ipw.GBM",FALSE,0.805375319711686,1.20504334761872,1.44889845944124,0,1.16632568235524,0.118,0.525717,0.723,NA,NA,NA,NA
"104",400,20,1.5,1,1,"lslx",FALSE,0.608245597719092,1.40678169898258,1.53199817917267,0,1.13177012814523,0.13,0.0694488207021541,1.90571848845541,0.195,0.10345,0,0.2
"105",400,20,1.5,1,1,"none",FALSE,1.02014227588495,1.14178905022775,1.53070859932009,0,1.0917258448102,0.174,NA,NA,NA,NA,NA,NA
"106",400,20,1.5,1,1,"pred.treat",FALSE,0.154592970767454,3.47498585097498,3.47668665893585,0,2.1843135962557,0.061,0.27497670954986,3.01450409961672,1,0.2,0.2,0.2
"107",400,20,1.5,1,1,"regsem",FALSE,0.958629291161374,1.20599800127012,1.54011261463603,0,1.09940974082519,0.171,0.0412565181671622,1.34377694994559,0.015,0.02035,0,0
"108",400,20,1.5,1,1,"stability_mle",TRUE,0.129907135523417,3.33201392752933,3.33288018991023,0,2.11369975867806,0.075,0.315596429417601,2.97549506486217,0.963,0.54705,0.35,0.75
"109",400,20,1.5,1,1,"target",FALSE,0.0275524827243118,1.25133703339437,1.25101465462134,0,1.18511614641239,0.059,0.0855639398253705,0.815049283533792,NA,NA,NA,NA
"110",400,20,1.5,1,1,"unwanted.only",FALSE,1.57376135576885,1.60662174941023,2.24841655774541,0,1.4595058956217,0.24,0.159045848206635,2.37632988844462,NA,NA,NA,NA
"111",400,20,1.5,1,1.5,"glmnet",FALSE,-0.277885057394515,17.4132133227751,17.4066348127117,0,2.24102467260883,0.095959595959596,0.107608429257962,3.52315156962335,0.294949494949495,0.273030303030303,0.05,0.45
"112",400,20,1.5,1,1.5,"ipw.CBPS",FALSE,0.222927439487165,2.30357076084695,2.313174194666,0,2.11927727095839,0.0616161616161616,0.248029965357196,3.8169055344609,NA,NA,NA,NA
"113",400,20,1.5,1,1.5,"ipw.GBM",FALSE,0.6917735521551,1.58534257112731,1.72896588087837,0,1.5363994549177,0.0818181818181818,0.524472727272727,0.667,NA,NA,NA,NA
"114",400,20,1.5,1,1.5,"lslx",FALSE,0.730302953506453,1.58151328995758,1.74126397810288,0,1.44985391335645,0.105050505050505,0.0409941590926952,1.37726350685157,0.0444444444444444,0.0640909090909091,0,0.1
"115",400,20,1.5,1,1.5,"none",FALSE,0.900144880358817,1.48996752986154,1.7401211504268,0,1.44069516023568,0.12020202020202,NA,NA,NA,NA,NA,NA
"116",400,20,1.5,1,1.5,"pred.treat",FALSE,-0.35976977376906,7.45462222546108,7.45953712335656,0,3.14241318706591,0.0626262626262626,0.28346031331695,3.19748154458087,1,0.2,0.2,0.2
"117",400,20,1.5,1,1.5,"regsem",FALSE,0.864879653513665,1.5064341567107,1.73639523641156,0,1.44199971592146,0.114141414141414,0.0316716990639621,0.472575316103936,0.00505050505050505,0.0163636363636364,0,0
"118",400,20,1.5,1,1.5,"stability_mle",TRUE,-0.0537510463197504,4.90123399178659,4.89905287531803,0,2.89819204046574,0.0747474747474747,0.317597128286321,2.99437787722236,0.952525252525253,0.543434343434343,0.35,0.75
"119",400,20,1.5,1,1.5,"target",FALSE,-0.0988750241982149,1.64450696461849,1.64664741421126,0,1.57239255508075,0.0616161616161616,0.0899165615789166,1.19901990078044,NA,NA,NA,NA
"120",400,20,1.5,1,1.5,"unwanted.only",FALSE,1.32566189992158,2.35331391883246,2.69997626782293,0,1.9628493269334,0.147474747474747,0.159491970488192,2.65065998790126,NA,NA,NA,NA
