"","sample_size_n","number_covariates_J","coefficient_k","binary_covariates_1","number_unwanted_inS3","collider_bias_1","binary_treatment_1","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"48",400,20,0.5,0,4,1,1,"lslx.mle",FALSE,0.171598325108008,0.938320427402565,0.953420560107828,0,0.787218236159092,0.119,0.107923221495737,0.697392916697773,0.707,0.3045,0.2,0.4
"49",400,20,0.5,0,4,1,1,"none.mle",FALSE,1.45770556981482,0.668212342960842,1.60342344869317,0,0.664509425426119,0.588,NA,NA,NA,NA,NA,NA
"50",400,20,0.5,0,4,1,1,"post_lslx",FALSE,0.106954811948826,0.894904724760765,0.900829031354868,0,0.724232363655655,0.106,NA,NA,NA,NA,NA,NA
"51",400,20,0.5,0,4,1,1,"regsem.mle",FALSE,0.967402689987256,0.989735655116007,1.38364195330132,0,0.699515375986923,0.397,0.0711682278786508,0.455991859517892,0.218,0.1006,0,0.2
"52",400,20,0.5,0,4,1,1,"rlassoEffect.ds",TRUE,0.00356903452495696,0.748396409087225,0.748030631696964,0,0.753029648781576,0.045,NA,NA,NA,NA,NA,NA
"53",400,20,0.5,0,4,1,1,"stability_CBPS.CBPS",TRUE,-0.00328414389706943,0.806874022177973,0.806477171145675,0,0.73059848772534,0.078,0.175681488467914,0.385640764344451,1,0.56855,0.35,0.8
"54",400,20,0.5,0,4,1,1,"stability_mle.mle",TRUE,0.00543787015959096,0.880478478592647,0.880054929731906,0,0.851654166662109,0.063,0.150039421345267,1.2837824046821,1,0.53215,0.3,0.75
"55",400,20,0.5,0,4,1,1,"target.mle",FALSE,0.00912545255688601,0.864885308038689,0.864500921543456,0,0.840804588008544,0.057,0.124975551817208,0.833332883746294,NA,NA,NA,NA
"56",400,20,0.5,0,4,1,1,"unwanted.only.mle",FALSE,1.44692585602771,0.677226899748882,1.59742670264124,0,0.664790006991553,0.584,0.00306504203297526,0.0201050058577952,NA,NA,NA,NA
"57",400,20,0.5,1,2,0,1,"SignifReg.mle",FALSE,0.0555095041036046,0.29589194481262,0.300908285043496,0,0.286760284096699,0.064,0.0114976207466007,0.149943728324572,0.242,0.11765,0.1,0.15
"58",400,20,0.5,1,2,0,1,"all.ipw.CBPS",FALSE,0.0562474711979922,0.298518307987829,0.303624513239431,0,0.299398056883497,0.066,0.119993512792181,0.226634037175186,NA,NA,NA,NA
"59",400,20,0.5,1,2,0,1,"all.ipw.GBM",FALSE,0.0343729221366398,0.302150642112452,0.303949359753643,0,0.30443070104681,0.06,0.064123,0.155,NA,NA,NA,NA
"60",400,20,0.5,1,2,0,1,"glmnet.DS.mle",TRUE,0.0128298613377047,0.310757192566493,0.310866640283292,0,0.2940701285284,0.069,0.0535683779924477,0.556953920287558,0.806,0.56465,0.35,0.8
"61",400,20,0.5,1,2,0,1,"glmnet.mle",FALSE,0.0276653994781647,0.309648706952826,0.310727877288353,0,0.28782968301827,0.072,0.033560222196887,0.224555661420006,0.575,0.33985,0.15,0.5
"62",400,20,0.5,1,2,0,1,"lslx.mle",FALSE,0.152075704946299,0.291042319436126,0.328249822705163,0,0.288747377969958,0.092,0.0228211620207942,0.176261250078195,0.026,0.0116,0,0
"63",400,20,0.5,1,2,0,1,"none.mle",FALSE,0.158010427922678,0.289042334151012,0.32928592559179,0,0.288892811480918,0.095,NA,NA,NA,NA,NA,NA
"64",400,20,0.5,1,2,0,1,"post_lslx",FALSE,0.151448534725445,0.291562515286871,0.32842099550816,0,0.289320493139099,0.089,NA,NA,NA,NA,NA,NA
"65",400,20,0.5,1,2,0,1,"regsem.mle",FALSE,0.129998359640267,0.298528469672797,0.325468433902794,0,0.287811709872617,0.087,0.0122505164551909,0.0995752209092312,0.079,0.03325,0,0
"66",400,20,0.5,1,2,0,1,"rlassoEffect.ds",TRUE,0.081835278749613,0.296380044003192,0.307327678872043,0,0.289915261031762,0.068,NA,NA,NA,NA,NA,NA
"67",400,20,0.5,1,2,0,1,"stability_CBPS.CBPS",TRUE,0.00698971859057749,0.306280742982389,0.306207350980178,0,0.285077003450393,0.078,0.10449340929903,0.227172260906058,0.901,0.60215,0.4,0.85
"68",400,20,0.5,1,2,0,1,"stability_mle.mle",TRUE,0.00296196840510446,0.311353899524511,0.311212279248751,0,0.294956084173958,0.074,0.0557591941325669,0.473976702905977,0.923,0.5997,0.4,0.8
"69",400,20,0.5,1,2,0,1,"target.mle",FALSE,0.00175986168399964,0.296186410118458,0.296043510758921,0,0.292312330905955,0.062,0.0288154786442031,0.238170473010897,NA,NA,NA,NA
"70",400,20,0.5,1,2,0,1,"unwanted.only.mle",FALSE,0.160905129166502,0.293371680719597,0.334471727799648,0,0.291066557924815,0.097,0.00799274941130679,0.0722658259948704,NA,NA,NA,NA
"71",400,20,0.5,1,2,1,1,"SignifReg.mle",FALSE,0.0431746435318373,0.319370799122202,0.322117617445434,0,0.304354319192333,0.056,0.00850919295161651,0.170928922490175,0.149,0.1051,0.05,0.15
"72",400,20,0.5,1,2,1,1,"all.ipw.CBPS",FALSE,0.0263912645057775,0.321693584262893,0.322613970924951,0,0.316531597044406,0.05,0.119767141641165,0.227868377825663,NA,NA,NA,NA
"73",400,20,0.5,1,2,1,1,"all.ipw.GBM",FALSE,0.0576252598610917,0.320575127285599,0.325555393744293,0,0.314272280842617,0.061,0.149266,0.27,NA,NA,NA,NA
"74",400,20,0.5,1,2,1,1,"glmnet.DS.mle",TRUE,-0.0177733071938003,0.331955995105868,0.332265674352085,0,0.311857926912718,0.061,0.0468299580816591,0.277882089435234,0.837,0.58355,0.3875,0.85
"75",400,20,0.5,1,2,1,1,"glmnet.mle",FALSE,0.0116806867390659,0.331309975775947,0.331350225880874,0,0.305593224308101,0.055,0.0295317991337523,0.21700946361521,0.513,0.32165,0.1,0.5
"76",400,20,0.5,1,2,1,1,"lslx.mle",FALSE,0.118070427397584,0.32128005621175,0.342137807718986,0,0.305856332136974,0.086,0.0163143250352495,0.127722715357166,0.06,0.0402,0,0
"77",400,20,0.5,1,2,1,1,"none.mle",FALSE,0.141009095076315,0.314315266823457,0.344352810015518,0,0.306354747631033,0.086,NA,NA,NA,NA,NA,NA
"78",400,20,0.5,1,2,1,1,"post_lslx",FALSE,0.116194635590001,0.321674095751062,0.341865387240766,0,0.306294320029381,0.084,NA,NA,NA,NA,NA,NA
"79",400,20,0.5,1,2,1,1,"regsem.mle",FALSE,0.130072034112966,0.319668324090705,0.344970119934781,0,0.305665621146421,0.085,0.0055371472371093,0.0501295981065998,0.014,0.0147,0,0
"80",400,20,0.5,1,2,1,1,"rlassoEffect.ds",TRUE,0.0617244921077767,0.31624747155457,0.322059565495821,0,0.308231352895833,0.063,NA,NA,NA,NA,NA,NA
"81",400,20,0.5,1,2,1,1,"stability_CBPS.CBPS",TRUE,-0.0189622746956388,0.324345008158696,0.324736897341186,0,0.302529596495303,0.063,0.102930911255519,0.254241873663246,0.948,0.6099,0.4,0.85
"82",400,20,0.5,1,2,1,1,"stability_mle.mle",TRUE,-0.0252518434818207,0.328739796109465,0.329544290334056,0,0.312020322673021,0.061,0.048281348316557,0.276541374503819,0.943,0.60465,0.4,0.85
"83",400,20,0.5,1,2,1,1,"target.mle",FALSE,-0.0166521768387644,0.320953697690833,0.321225092075365,0,0.310334048992812,0.052,0.0276710818145749,0.193363557682984,NA,NA,NA,NA
"84",400,20,0.5,1,2,1,1,"unwanted.only.mle",FALSE,0.131000023394431,0.316108695156164,0.342031853159206,0,0.306256202308411,0.081,0.00237794116312373,0.0556212173050244,NA,NA,NA,NA
"85",400,20,0.5,1,4,0,1,"SignifReg.mle",FALSE,0.053434466905451,0.299182573730889,0.303769558160926,0,0.291600019985528,0.061,0.0145712715734389,0.302942488779908,0.276,0.11805,0.1,0.15
"86",400,20,0.5,1,4,0,1,"all.ipw.CBPS",FALSE,0.0548647898923769,0.301804754490395,0.306602623754444,0,0.305303419411719,0.046,0.122976160606919,0.251868913103375,NA,NA,NA,NA
"87",400,20,0.5,1,4,0,1,"all.ipw.GBM",FALSE,0.0369534316379985,0.308697485707859,0.31074812896379,0,0.310418982711328,0.052,0.073081,0.224,NA,NA,NA,NA
"88",400,20,0.5,1,4,0,1,"glmnet.DS.mle",TRUE,0.00971182084459289,0.315941871489421,0.31593316755003,0,0.302525307530009,0.072,0.0701683736012935,0.516539733480054,0.808,0.5744,0.35,0.85
"89",400,20,0.5,1,4,0,1,"glmnet.mle",FALSE,0.0280904855922754,0.312585734523968,0.313689666656825,0,0.293309983294777,0.073,0.0429634603663186,0.313550747400251,0.596,0.34195,0.15,0.5
"90",400,20,0.5,1,4,0,1,"lslx.mle",FALSE,0.155614020148506,0.296090780222423,0.334361785569718,0,0.291553930357059,0.086,0.0336765637419856,0.206197255738558,0.02,0.00875,0,0
"91",400,20,0.5,1,4,0,1,"none.mle",FALSE,0.161869612473702,0.294695904902593,0.336096120376862,0,0.291488050007055,0.088,NA,NA,NA,NA,NA,NA
"92",400,20,0.5,1,4,0,1,"post_lslx",FALSE,0.155615094336567,0.295659000823225,0.333980370842956,0,0.292150326836615,0.084,NA,NA,NA,NA,NA,NA
"93",400,20,0.5,1,4,0,1,"regsem.mle",FALSE,0.134377180897517,0.302906471812156,0.331236780990558,0,0.290933500798068,0.086,0.0158933302819702,0.209569351817929,0.072,0.02965,0,0
"94",400,20,0.5,1,4,0,1,"rlassoEffect.ds",TRUE,0.0837658208496762,0.299077787247604,0.310442890150054,0,0.29314700287884,0.062,NA,NA,NA,NA,NA,NA
"95",400,20,0.5,1,4,0,1,"stability_CBPS.CBPS",TRUE,0.00733904681912868,0.306887212579033,0.306821516669704,0,0.289239728532113,0.067,0.11018393301976,0.284890368264353,0.876,0.6157,0.4,0.85
"96",400,20,0.5,1,4,0,1,"stability_mle.mle",TRUE,0.00395468082051185,0.315357005714536,0.315224095704273,0,0.304549396688342,0.062,0.072578633834856,0.522875581874047,0.917,0.57985,0.35,0.8
"97",400,20,0.5,1,4,0,1,"target.mle",FALSE,0.00324580922388235,0.302378367009138,0.302244568910337,0,0.297343849293702,0.06,0.0345635621820036,0.274089646606976,NA,NA,NA,NA
"98",400,20,0.5,1,4,0,1,"unwanted.only.mle",FALSE,0.16206731891917,0.303503597461127,0.343930421887657,0,0.296586525029707,0.091,0.0243177899767147,0.180603979250055,NA,NA,NA,NA
"99",400,20,0.5,1,4,1,1,"SignifReg.mle",FALSE,0.0494193617376652,0.313479333776286,0.31719599103185,0,0.304514546154228,0.067,0.00981838451652292,0.262968003261677,0.183,0.1155,0.05,0.15
"100",400,20,0.5,1,4,1,1,"all.ipw.CBPS",FALSE,0.0346398552179945,0.313059712353242,0.314814702141941,0,0.316869272646054,0.046,0.11981932741772,0.244438846202392,NA,NA,NA,NA
"101",400,20,0.5,1,4,1,1,"all.ipw.GBM",FALSE,0.0738560296892692,0.314082032043692,0.322495873541514,0,0.312933617332378,0.061,0.170589,0.273,NA,NA,NA,NA
"102",400,20,0.5,1,4,1,1,"glmnet.DS.mle",TRUE,-0.012982160781198,0.326790989462336,0.326885446206355,0,0.312492094130638,0.061,0.048366506036827,0.637004536636131,0.865,0.60515,0.4,0.85
"103",400,20,0.5,1,4,1,1,"glmnet.mle",FALSE,0.00970527523157351,0.325259728695749,0.325241893961159,0,0.305082878346206,0.061,0.0298729134379117,0.348355992787291,0.552,0.352,0.2,0.5
"104",400,20,0.5,1,4,1,1,"lslx.mle",FALSE,0.118289188418521,0.314471246978738,0.335835681707436,0,0.305954108964253,0.069,0.0171619179163284,0.148311834977687,0.081,0.066,0,0.05
"105",400,20,0.5,1,4,1,1,"none.mle",FALSE,0.152483560393323,0.310846746966633,0.346092921900842,0,0.306955705078623,0.08,NA,NA,NA,NA,NA,NA
"106",400,20,0.5,1,4,1,1,"post_lslx",FALSE,0.118567460614947,0.313619565032247,0.335137459941621,0,0.306543528510456,0.071,NA,NA,NA,NA,NA,NA
"107",400,20,0.5,1,4,1,1,"regsem.mle",FALSE,0.1440521957731,0.314434171676179,0.345718114330763,0,0.306256637464584,0.078,0.00506070822980477,0.0734763504775613,0.017,0.0172,0,0
"108",400,20,0.5,1,4,1,1,"rlassoEffect.ds",TRUE,0.0708725784897895,0.317013723263916,0.324684655348393,0,0.308729153893832,0.059,NA,NA,NA,NA,NA,NA
"109",400,20,0.5,1,4,1,1,"stability_CBPS.CBPS",TRUE,-0.0162941270956347,0.316880191218777,0.317140569951356,0,0.302635737142984,0.057,0.10246647348645,0.26752174523724,0.943,0.582,0.4,0.8
