"","sample_size_n","number_covariates_J","coefficient_k","binary_covariates_1","number_unwanted_inS3","collider_bias_1","binary_treatment_1","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","confounders","total","total.lo","total.up"
"96",400,20,0.8,1,4,0,0,"lslx.DS",TRUE,0.220210037352265,0.179254421237701,0.28388813983049,0,0.153103730134572,0.392,0.081,0.04925,0,0
"97",400,20,0.8,1,4,0,0,"none",FALSE,0.236855749998646,0.150126239488179,0.280385442208579,0,0.142847578351567,0.418,NA,NA,NA,NA
"98",400,20,0.8,1,4,0,0,"post_lslx",FALSE,0.229478960498592,0.15825367857079,0.278710918096008,0,0.144048461915059,0.394,NA,NA,NA,NA
"99",400,20,0.8,1,4,0,0,"post_lslx.DS",TRUE,0.234488735529633,0.154101722145302,0.280550459842193,0,0.143496486162736,0.404,NA,NA,NA,NA
"100",400,20,0.8,1,4,0,0,"regsem",FALSE,0.218852376367255,0.165841220284729,0.274539923648232,0,0.143471650802744,0.39,0.029,0.0243,0,0
"101",400,20,0.8,1,4,0,0,"regsem.DS",TRUE,-0.00278280565026573,0.287841661948521,0.28771116338825,0,0.260849351418234,0.065,1,0.40335,0.35,0.45
"102",400,20,0.8,1,4,0,0,"rlassoEffect.ds",TRUE,-0.00132685480371531,0.286226944375678,0.286086872062702,0,0.260978404533222,0.07,NA,NA,NA,NA
"103",400,20,0.8,1,4,0,0,"stability",TRUE,0.00338291360044161,0.284618784503083,0.284496553131929,0,0.252375018738129,0.077,0.98,0.71535,0.55,0.95
"104",400,20,0.8,1,4,0,0,"target",FALSE,0.00203317514060608,0.174530790958716,0.174455351872147,0,0.167330814737172,0.061,NA,NA,NA,NA
"105",400,20,0.8,1,4,0,0,"unwanted.only",FALSE,0.393298514468977,0.198741991368481,0.440616162024818,0,0.182416378504284,0.592,NA,NA,NA,NA
"106",400,20,0.8,1,4,1,0,"SignifReg",FALSE,0.138657811158673,0.213220688944223,0.254251032892631,0,0.171091452352262,0.193,0.095,0.1017,0.05,0.15
"107",400,20,0.8,1,4,1,0,"SignifReg.DS",TRUE,-0.0957635759792535,0.229665972904607,0.248725501578434,0,0.226240931187694,0.069,1,0.2651,0.25,0.3
"108",400,20,0.8,1,4,1,0,"glmnet",FALSE,0.0846946502318541,0.276959289595534,0.289487349331651,0,0.176749583639226,0.27,0.246,0.29355,0.05,0.45
"109",400,20,0.8,1,4,1,0,"glmnet.DS",TRUE,-0.105059713785461,0.233443683351393,0.255888649228628,0,0.227012496647334,0.083,1,0.6469,0.5,0.8
"110",400,20,0.8,1,4,1,0,"lslx",FALSE,0.26217896892719,0.199761658479563,0.329549127181414,0,0.159459051742041,0.423,0.016,0.0417,0,0
"111",400,20,0.8,1,4,1,0,"lslx.DS",TRUE,0.1351051899473,0.271998975259841,0.303583384674717,0,0.185189434279834,0.294,0.398,0.2288,0,0.5
"112",400,20,0.8,1,4,1,0,"none",FALSE,0.295405462332351,0.168075335506718,0.339831511580489,0,0.157453079226146,0.47,NA,NA,NA,NA
"113",400,20,0.8,1,4,1,0,"post_lslx",FALSE,0.26087762606571,0.202982350867052,0.330481117025515,0,0.161473123038108,0.411,NA,NA,NA,NA
"114",400,20,0.8,1,4,1,0,"post_lslx.DS",TRUE,0.267181334303451,0.183722230553808,0.324200508238095,0,0.16050097604074,0.403,NA,NA,NA,NA
"115",400,20,0.8,1,4,1,0,"regsem",FALSE,0.283272277531816,0.175172097015115,0.333013155186341,0,0.157837569250937,0.451,0,0.01515,0,0
"116",400,20,0.8,1,4,1,0,"regsem.DS",TRUE,-0.106325046536722,0.232953923578813,0.255965385357647,0,0.229002059035285,0.074,1,0.31725,0.3,0.35
"117",400,20,0.8,1,4,1,0,"rlassoEffect.ds",TRUE,-0.0931757471261988,0.230807491403729,0.248798203053237,0,0.228813576001717,0.065,NA,NA,NA,NA
"118",400,20,0.8,1,4,1,0,"stability",TRUE,-0.104064963106745,0.234107689066167,0.256088110259397,0,0.226350441984698,0.083,1,0.7178,0.55,0.95
"119",400,20,0.8,1,4,1,0,"target",FALSE,0.00259169008046688,0.222808558777364,0.222712206823189,0,0.216964749522292,0.06,NA,NA,NA,NA
"120",400,20,0.8,1,4,1,0,"unwanted.only",FALSE,0.255326252295111,0.170156404348283,0.306782893672158,0,0.160948487358248,0.359,NA,NA,NA,NA
"121",400,20,1.6,0,2,0,0,"SignifReg",FALSE,0.12884562096412,0.46668235261558,0.483917162194316,0,0.362263945380332,0.097,0.61,0.1745,0.15,0.2
"122",400,20,1.6,0,2,0,0,"SignifReg.DS",TRUE,-0.0270460557617972,1.76654164116202,1.76586528073965,0,1.71075084020037,0.062,1,0.31175,0.3,0.35
"123",400,20,1.6,0,2,0,0,"glmnet",FALSE,0.30360570405991,0.631991201287525,0.700849405481704,0,0.454908314416626,0.125,0.805,0.462,0.35,0.6
"124",400,20,1.6,0,2,0,0,"glmnet.DS",TRUE,-0.0277049854002592,1.77516573988993,1.77449422565725,0,1.71122991886289,0.062,1,0.69785,0.6,0.8
"125",400,20,1.6,0,2,0,0,"lslx",FALSE,0.282149718482148,0.505896342718146,0.579036822754457,0,0.398935038914066,0.164,0.642,0.284,0.2,0.35
"126",400,20,1.6,0,2,0,0,"lslx.DS",TRUE,-0.037482212826996,1.77574917441392,1.77525681566913,0,1.73415761671803,0.061,1,0.6222,0.3375,1
"127",400,20,1.6,0,2,0,0,"none",FALSE,0.731804014877989,0.335551228378244,0.80499636547678,0,0.33096847049231,0.609,NA,NA,NA,NA
"128",400,20,1.6,0,2,0,0,"post_lslx",FALSE,0.270471573241466,0.515077529007316,0.581544863238519,0,0.404423360182907,0.162,NA,NA,NA,NA
"129",400,20,1.6,0,2,0,0,"post_lslx.DS",TRUE,0.481571083967861,0.494009944610091,0.689719137375694,0,0.365768856037773,0.378,NA,NA,NA,NA
"130",400,20,1.6,0,2,0,0,"regsem",FALSE,0.552510352572317,0.502067127424596,0.746382622211644,0,0.355684276650919,0.436,0.196,0.10345,0,0.2
"131",400,20,1.6,0,2,0,0,"regsem.DS",TRUE,-0.0291476116501619,1.78206297567727,1.78141019534956,0,1.75503783961582,0.056,1,0.30855,0.25,0.35
"132",400,20,1.6,0,2,0,0,"rlassoEffect.ds",TRUE,-0.0388311647771638,1.767168172719,1.7667111610782,0,1.73849818247406,0.06,NA,NA,NA,NA
"133",400,20,1.6,0,2,0,0,"stability",TRUE,-0.0312540703282006,1.78220039580992,1.78158323675497,0,1.70710706522177,0.07,0.996,0.73165,0.55,0.95
"134",400,20,1.6,0,2,0,0,"target",FALSE,-0.0163584844564533,0.369072150384199,0.369250102167542,0,0.372443833051723,0.049,NA,NA,NA,NA
"135",400,20,1.6,0,2,0,0,"unwanted.only",FALSE,2.43401812218604,0.634235593746299,2.51521306308559,0,0.589997181567411,0.977,NA,NA,NA,NA
"136",400,20,1.6,0,2,1,0,"SignifReg",FALSE,0.880469103341927,0.84059565856076,1.21701286027295,0,0.410103159977125,0.669,0.091,0.12,0.1,0.15
"137",400,20,1.6,0,2,1,0,"SignifReg.DS",TRUE,-0.463244387714822,0.939025108920897,1.04665264045814,0,0.887537122972175,0.106,1,0.3012,0.25,0.35
"138",400,20,1.6,0,2,1,0,"glmnet",FALSE,0.697757643382047,1.03357143596851,1.24662238558227,0,0.438446799964472,0.7,0.138,0.34785,0.15,0.5
"139",400,20,1.6,0,2,1,0,"glmnet.DS",TRUE,-0.471773290486141,0.942857308277347,1.05387900704225,0,0.88769167234227,0.108,1,0.64775,0.5,0.8
"140",400,20,1.6,0,2,1,0,"lslx",FALSE,1.10683085634811,0.526106893335367,1.22539227160777,0,0.363361106095257,0.821,0.005,0.1722,0.1,0.25
"141",400,20,1.6,0,2,1,0,"lslx.DS",TRUE,-0.466516109344793,0.946053985189189,1.05440049555549,0,0.904446902128221,0.105,1,0.4613,0.25,0.55
"142",400,20,1.6,0,2,1,0,"none",FALSE,1.2758037616773,0.36003904623145,1.32558429569997,0,0.35143873858012,0.947,NA,NA,NA,NA
"143",400,20,1.6,0,2,1,0,"post_lslx",FALSE,1.09956914482419,0.544588968208876,1.226920075392,0,0.366777852472712,0.814,NA,NA,NA,NA
"144",400,20,1.6,0,2,1,0,"post_lslx.DS",TRUE,1.24016530626013,0.390110964932395,1.30001706344448,0,0.352944929981968,0.921,NA,NA,NA,NA
"145",400,20,1.6,0,2,1,0,"regsem",FALSE,1.24684966999068,0.383740578813828,1.30450897833339,0,0.351927713673447,0.927,0.001,0.0576,0,0.1
"146",400,20,1.6,0,2,1,0,"regsem.DS",TRUE,-0.468812384662583,0.950178796770031,1.05911376069737,0,0.909179210804521,0.103,1,0.2708,0.2,0.3
"147",400,20,1.6,0,2,1,0,"rlassoEffect.ds",TRUE,-0.461532125643428,0.939300229380316,1.04614269533078,0,0.901566549976653,0.094,NA,NA,NA,NA
"148",400,20,1.6,0,2,1,0,"stability",TRUE,-0.474563495583694,0.947153925070289,1.05896835106574,0,0.887355258922576,0.106,1,0.71435,0.55,0.95
"149",400,20,1.6,0,2,1,0,"target",FALSE,-0.0312518997806987,0.866296441579382,0.866426994274942,0,0.828749083955276,0.066,NA,NA,NA,NA
